encoder,layer,method,param,cv_mean,point,ci_lo,ci_hi,d_vs_xllex,d_lo,d_hi,d_verdict
xlm-roberta-large,14,f_PRT,N/A,0.5168,0.552,0.2544,0.7539,-0.1498,-0.3637,0.0333,区分不开
xlm-roberta-large,15,f_SUS,500,0.6878,0.7315,0.5153,0.8719,-0.0544,-0.214,0.0878,区分不开
xlm-roberta-large,15,f_OT,N/A,0.7159,0.7353,0.5254,0.871,-0.0434,-0.1564,0.0545,区分不开
xlm-roberta-large,15,f_APD,N/A,0.4253,0.4608,0.1668,0.6911,-0.2729,-0.5397,-0.0154,显著更差
xlm-roberta-large,15,f_PRT,N/A,0.4847,0.5223,0.2232,0.7376,-0.1795,-0.4168,0.015,区分不开
xlm-roberta-large,16,f_SUS,20,0.675,0.7369,0.5315,0.8709,-0.049,-0.1778,0.0649,区分不开
xlm-roberta-large,16,f_OT,N/A,0.7106,0.7384,0.5326,0.8716,-0.0404,-0.1703,0.0749,区分不开
xlm-roberta-large,16,f_APD,N/A,0.4974,0.5484,0.2459,0.7721,-0.1853,-0.4515,0.0699,区分不开
xlm-roberta-large,16,f_PRT,N/A,0.5119,0.5378,0.2422,0.7545,-0.164,-0.3913,0.0357,区分不开
xlm-roberta-large,17,f_SUS,10,0.6809,0.721,0.4892,0.8725,-0.0649,-0.2086,0.0376,区分不开
xlm-roberta-large,17,f_OT,N/A,0.7164,0.7338,0.5099,0.8739,-0.045,-0.1672,0.0517,区分不开
xlm-roberta-large,17,f_APD,N/A,0.502,0.5536,0.2584,0.7585,-0.1801,-0.4214,0.0364,区分不开
xlm-roberta-large,17,f_PRT,N/A,0.5002,0.5248,0.2175,0.7503,-0.177,-0.418,0.029,区分不开
xlm-roberta-large,18,f_SUS,500,0.6841,0.7256,0.4903,0.8721,-0.0603,-0.2515,0.1168,区分不开
xlm-roberta-large,18,f_OT,N/A,0.7079,0.7172,0.4926,0.866,-0.0616,-0.2089,0.0555,区分不开
xlm-roberta-large,18,f_APD,N/A,0.5278,0.5777,0.281,0.7718,-0.156,-0.4019,0.0726,区分不开
xlm-roberta-large,18,f_PRT,N/A,0.5179,0.5521,0.263,0.7629,-0.1497,-0.3875,0.0482,区分不开
xlm-roberta-large,19,f_SUS,50,0.6791,0.7001,0.4487,0.8701,-0.0858,-0.2384,0.0356,区分不开
xlm-roberta-large,19,f_OT,N/A,0.6995,0.6937,0.4386,0.8677,-0.0851,-0.2404,0.044,区分不开
xlm-roberta-large,19,f_APD,N/A,0.4895,0.5251,0.2301,0.7348,-0.2086,-0.4352,-0.0017,显著更差
xlm-roberta-large,19,f_PRT,N/A,0.4959,0.5165,0.212,0.7456,-0.1853,-0.4167,0.0219,区分不开
xlm-roberta-large,20,f_SUS,200,0.6907,0.6986,0.4342,0.8735,-0.0873,-0.269,0.0551,区分不开
xlm-roberta-large,20,f_OT,N/A,0.7131,0.7016,0.4472,0.8705,-0.0771,-0.2323,0.0558,区分不开
xlm-roberta-large,20,f_APD,N/A,0.5788,0.5912,0.306,0.7826,-0.1425,-0.3327,0.0276,区分不开
xlm-roberta-large,20,f_PRT,N/A,0.5698,0.5774,0.2905,0.7823,-0.1244,-0.336,0.0661,区分不开
xlm-roberta-large,21,f_SUS,10,0.7109,0.7173,0.4705,0.8886,-0.0686,-0.2156,0.0563,区分不开
xlm-roberta-large,21,f_OT,N/A,0.7333,0.7224,0.4836,0.8897,-0.0563,-0.1969,0.0691,区分不开
xlm-roberta-large,21,f_APD,N/A,0.6268,0.6351,0.3536,0.8225,-0.0986,-0.2828,0.0708,区分不开
xlm-roberta-large,21,f_PRT,N/A,0.5603,0.5745,0.2957,0.7694,-0.1273,-0.3203,0.0369,区分不开
xlm-roberta-large,22,f_SUS,100,0.641,0.6751,0.4151,0.8517,-0.1108,-0.2693,0.0255,区分不开
xlm-roberta-large,22,f_OT,N/A,0.6725,0.6698,0.4141,0.8478,-0.1089,-0.274,0.0362,区分不开
xlm-roberta-large,22,f_APD,N/A,0.5385,0.5389,0.2361,0.7499,-0.1948,-0.422,0.0085,区分不开
xlm-roberta-large,22,f_PRT,N/A,0.4976,0.4962,0.1901,0.7217,-0.2056,-0.4396,-0.0007,显著更差
xlm-roberta-large,23,f_SUS,200,0.6681,0.6804,0.4347,0.848,-0.1055,-0.2559,0.0254,区分不开
xlm-roberta-large,23,f_OT,N/A,0.6605,0.6629,0.4107,0.8393,-0.1159,-0.2746,0.0236,区分不开
xlm-roberta-large,23,f_APD,N/A,0.505,0.5194,0.2181,0.7337,-0.2143,-0.4415,-0.0059,显著更差
xlm-roberta-large,23,f_PRT,N/A,0.4936,0.495,0.1941,0.7211,-0.2068,-0.436,0.0008,区分不开
xlm-roberta-large,24,f_SUS,20,0.6127,0.6053,0.328,0.8065,-0.1806,-0.386,-0.0059,显著更差
xlm-roberta-large,24,f_OT,N/A,0.594,0.5956,0.3128,0.7921,-0.1832,-0.3842,-0.0094,显著更差
xlm-roberta-large,24,f_APD,N/A,0.4175,0.4204,0.1006,0.6735,-0.3133,-0.5799,-0.0597,显著更差
xlm-roberta-large,24,f_PRT,N/A,0.4331,0.44,0.1285,0.6825,-0.2618,-0.5117,-0.0426,显著更差
